comment_text,toxic
totally you are rude,1
you are banned,1
really you always lie,1
always you lost again,1
you are lying,1
so you are just noise,1
really this is top tier,0
so hi sir,0
you are selfish,1
that was good again,0
great choice again,0
you are hopeless again,1
completely good decision,0
thanks and amazing post,0
really you do not know anything,1
always you are not trying,1
i will hurt your family,1
you still are focused,0
always this is good energy,0
always take care,0
so you waste time,1
so you are random,1
you make mistakes again,1
totally you are pathetic,1
really you are the worst,1
keep up the good work,0
always you are wrong,1
really so nice,0
always sure,0
you still is weak,1
that is fine,0
so pure trash still,1
so you have no idea,1
totally you are pathetic,1
you are not smart,1
always you are so slow,1
sure again,0
totally you are honest,0
always you are heartless,1
go die,1
so you are nice,0
so you are cool,0
always your help is appreciated,0
this is okay,0
always i learned something new,0
you never learn,1
totally you are the worst,1
you did well,0
you improved,0
so you are nothing,1
totally good work,0
coward,1
you are so slow again,1
totally this is good,0
totally you are trash,1
you are banned,1
you did your best,0
always you are making it worse,1
worthless human,1
you still is not good,1
you still sound weird,1
you are honest again,0
i will beat you,1
you are kind again,0
you still hit that,0
not worth my time now,1
so you gave effort,0
totally you are proud for nothing,1
so you are washed,1
always you are hopeless,1
you still waste time,1
very this is good,0
stay happy,0
thanks and that is fine,0
so see you soon,0
keep trying again,0
really you are doing fine,0
completely you are the problem,1
totally you are focused,0
you will suffer,1
that was fine with me,0
always keep going,0
always good answer,0
you still is disgusting,1
totally you are hopeless,1
so you talk too much,1
so you are smart,0
you still are improving again,0
completely you are amazing,0
hello maam,0
you are mid again,1
always you always fail again,1
always you make it worse,1
so you are so bad,1
you still ruin everything,1
you still waste time,1
really you handled that well,0
always this is correct,0
really you are soft,1
you are broke,1
always you are not winning,1
i do not think so but i understand you,0
so disappear now,1
you do not deserve it,1
very you are so slow,1
so thank you,0
thanks and you are right,0
you made progress again,0
really you are gentle,0
so you handled that well,0
completely you know nothing,1
so keep trying,0
really you got skill,0
always that is wise,0
you still are correct,0
hey bro again,0
you still hit that,0
i will break you,1
totally you are not helping,1
really that is true,0
very you help others,0
you still are hopeless,1
looks good,0
that was okay,0
you cannot do anything again,1
you still are not it,1
so you ruined it,1
you are improving,0
completely you are not welcome,1
totally this is nice,0
so you are a loser,1
always you are cold,1
so hi sir,0
thanks and that was kind,0
no one cares,1
really that means a lot,0
always nice click,0
you deserve pain,1
thanks and good afternoon,0
so makes sense,0
you still bring nothing,1
always you are right on this,0
completely that is wise,0
that is clear again,0
really love your spirit,0
always you are open minded,0
completely this is positive,0
really you are talented,0
always this hits right,0
very you did your part,0
you still missed it,1
so you handled it calmly,0
you are nobody,1
completely that was kind,0
this is not good yet but you will improve,0
so you are not trying,1
you still are capable,0
really hey there,0
you sound fake,1
always get out of here,1
really good evening,0
you are broke,1
you are focused again,0
you always fail again,1
i will break your face,1
i will find you,1
so unfollow me now,1
you are inspiring,0
completely you are rude,1
you are weak again,1
you are not serious again,1
completely you failed again,1
always you brought this on yourself still,1
you are not right but your effort is good,0
really stupid human,1
you still are heartless,1
always how are you,0
respect your opinion,0
totally you made it better,0
so this is low effort,1
completely this is fine,0
always you failed hard,1
you understood it,0
leave the internet,1
very good answer,0
you still are strong,0
completely you do not improve,1
very that was smart,0
totally you do not deserve it,1
really that is a good idea,0
i will punch you,1
nobody likes you again,1
you still always lose,1
that is crazy bad,1
always alright,0
always good afternoon,0
you still are helpful,0
that works well,0
you still are selfish,1
you are wrong again again,1
totally great choice,0
so keep going,0
very you are not serious,1
totally you are gentle,0
simple and effective again,0
this is not deep,1
that was works for me,0
stay gone,1
really you are lost,1
so you are not funny at all,1
really you are right,0
you are not normal,1
so you are lazy,1
you still likes you,1
you are open minded,0
you are incompetent,1
so hello friend,0
so that is a good idea,0
completely you make no sense,1
you still is fair,0
you are doing well again,0
you are a fool,1
really hello,0
you still sound weird,1
really you make it worse,1
simple and effective again,0
really you are rude,1
you are selfish,1
thanks and i respect your thought,0
completely you are wrong again,1
really you talk too much,1
so you are lying,1
completely you did your part,0
this is simple and good again,0
always this is neat,0
you are not trying,1
you are polite,0
completely you are careful,0
empty head,1
always you are helpful,0
so this is awful,1
always you are still wrong,1
not good this time but better than before,0
that is fine again,0
completely this is not good,1
very you are bad at this,1
really you always ruin still,1
really you made it better,0
shut up now,1
you still are weird,1
you cannot do anything again,1
good explanation again,0
always you make it worse,1
really you are embarrassing,1
really you explained well,0
you still is wonderful,0
that was good again,0
you are honest,0
you still are rude again,1
so you are right,0
you still was smart,0
thanks and that means a lot,0
really this is peaceful,0
always you are respectful,0
you are rude again,1
completely you are rude again,1
totally good answer,0
you are evil,1
you are heartless,1
utter garbage,1
you still always complain,1
you are growing,0
thanks and hello everyone,0
really you fell off,1
this is peaceful again,0
i will hurt you,1
always that is so nice,0
so this is helpful,0
you are capable,0
so good thought,0
very you are right,0
this was well explained,0
keep going strong,0
completely you make it worse,1
you are kind,0
that was i agree,0
always you are not trying,1
very you are fake,1
okay again,0
that was you are helpful,0
you always complain,1
always you are not normal,1
very this is wonderful,0
this is awful,1
completely that is right,0
completely you are pathetic,1
completely you are pathetic,1
completely this is a real one,0
really good concept,0
thanks and hello sir,0
completely you are the problem,1
so you are a disgrace,1
you are washed,1
really this is solid,0
always you are blind,1
so you are not helping,1
you are respectful,0
completely you did that right,0
very stay away from me still,1
that is not funny,1
always i will ruin you,1
i agree with your view,0
you still works well,0
always that is true enough,0
thanks and that is fine,0
unfollow me now,1
not sure about that but you explained well,0
great guidance,0
completely you are learning,0
you are a fool again,1
completely you are not him,1
always you are lazy,1
thanks and good explanation,0
so you stay calm,0
this is fine,0
really good morning,0
very this is good,0
totally you are not normal,1
always good explanation,0
completely that is right,0
this is decent,0
completely you stayed calm,0
totally you ruined it,1
so you are nothing,1
so that is a good idea,0
total clown,1
that is crazy bad,1
that was useful,0
always i will get you still,1
so this is helpful,0
pathetic attempt,1
really you are boring,1
that was amazing post,0
really you handled it calmly,0
completely this is strong,0
thanks and i enjoy this,0
useless human,1
completely that is crazy bad,1
shut up now,1
disappear now,1
really okay,0
always you should stop,1
you are bad at this,1
completely you bring good ideas,0
so pure trash again,1
you still are not good,1
you made sense,0
you are right again,0
very that is fair enough,0
you are kind,0
scumbag,1
you still are rude,1
you are annoying,1
so you are blind,1
you never change,1
thank you for your advice,0
you still is neat,0
you are wise again,0
great idea again,0
really you are a shame,1
always you know nothing,1
very you always complain,1
very that was good,0
always talk soon,0
very you are lazy,1
you still is perfect,0
this is not it,1
really you can do this,0
completely you do not listen,1
really you did great work,0
you are blind,1
you are fake again again,1
so that was informative,0
really that is fine,0
that was a good explanation again,0
totally you did your part,0
always this was well explained,0
you are wrong again,1
always you are trash now,1
completely this is terrible,1
you are nice,0
completely you are not special,1
really you are nice,0
go to hell,1
really you are honest,0
cool post,0
you still are chill,0
completely you handled it well,0
really you are hopeless,1
stop existing now,1
completely you are cool,0
you always fail,1
so this is positive,0
that was you can do this,0
this is positive,0
totally you made it easy,0
completely you are cold,1
you are amazing,0
totally you are nice,0
you did it right,0
always you always fail,1
completely that is fair enough,0
so you are heartless,1
really you are improving,0
stop breathing,1
this is smooth,0
you still are all talk,1
always this is better,0
always you are nothing,1
that is correct again,0
so you are wrong again,1
always you know nothing,1
you are mean,1
always you are all talk,1
very you made progress,0
so you are not serious,1
this is interesting again,0
so this is a win,0
thanks and appreciate your help,0
thanks and have a nice day,0
i will come for you,1
always you are a nobody,1
completely that is a great point,0
so you failed again,1
really you handled it calmly,0
who asked you,1
always you failed hard,1
very you waste time,1
really this is nonsense,1
completely you are not normal,1
always not worth my time now,1
always you are improving,0
you are mean,1
you are the problem again,1
this is clean,0
thanks and thank you very much,0
you are capable,0
so this is terrible,1
really stay away from me now,1
very this is wonderful,0
you made progress again,0
always see you tomorrow,0
you are trash,1
that was your support means a lot,0
always simple and effective,0
completely you are boring,1
so hi,0
you still is nonsense,1
shut your mouth,1
this was well explained,0
so that is weak,1
completely you are helpful,0
so you failed hard,1
very this looks better,0
really i will break your face again,1
that was great to see you again,0
so that was kind,0
completely this is correct,0
always this is fair,0
completely you are right,0
totally you are not trying,1
so you have no skill,1
always this is awesome,0
total loser still,1
trash talk,1
so that is a good idea,0
always welcome back,0
always you are arrogant,1
so you talk nonsense,1
always love this,0
so you are lazy,1
worthless human,1
you waste time again,1
always i got it,0
that was that was useful,0
thanks and good evening,0
you are proud for nothing again,1
you are not trying again,1
completely you got skill,0
you still are nice,0
completely you do not think,1
good decision again,0
shut your mouth,1
you are confident,0
always i like this post,0
very do not come back still,1
really you help others,0
really you are jealous,1
you always complain,1
always this is bad,1
good decision again,0
totally you are so slow,1
leave now,1
hi,0
very get a life again,1
very you make mistakes,1
very useless human still,1
very you do not deserve it,1
completely you stayed calm,0
hello sir again,0
empty head,1
this is a good result again,0
really this is fair,0
leave now,1
you are nobody,1
really you are nothing,1
good work,0
very you always fail,1
really this is terrible,1
totally you are so slow,1
you are proud for nothing,1
okay again,0
really stay away from me again,1
very you are cold,1
that is thoughtful again,0
thanks and that is true,0
completely good job,0
really you are strong,0
understood,0
die now,1
totally you are amazing,0
you are embarrassing again,1
always good day,0
completely you made sense,0
you are trash,1
stop existing,1
you are selfish,1
so you have no value now,1
you always ruin,1
thanks and that is a good idea,0
completely you never learn,1
really you never care,1
you are wrong again,1
thanks and i got it,0
learn to be quiet again,1
that was good concept,0
really you are lying,1
that was clear now,0
really clear now,0
you have no value again,1
totally this is a good result,0
really you brought this on yourself now,1
you ruined it again,1
you do not think again,1
very you are annoying,1
so this is a flop,1
really this is not good,1
completely this is neat,0
really hello,0
completely this is true,0
really you brought this on yourself now,1
total disgrace,1
completely this is a good result,0
completely you are learning fast,0
learn to fail,1
really that is so nice,0
so you are amazing,0
so you are not good,1
so hope you are fine,0
so you always fail again,1
really what a loser still,1
almost right but needs correction,0
you did great again,0
always you are selfish,1
always that was useful,0
so you know nothing,1
you are evil,1
totally you are friendly,0
that is clear,0
really you make it worse,1
you help others again,0
completely that is clean,0
completely you help others,0
keep going,0
good work again,0
you still choice,0
really appreciate it again,0
completely this is decent,0
so you are the problem,1
completely this is strong work,0
nice update again,0
very worthless human again,1
always you are embarrassing,1
completely you never change,1
shut your mouth,1
really i will make you pay again,1
stay gone,1
very you have no value again,1
pathetic attempt,1
completely you are not even trying,1
thank you for the feedback again,0
you still is clean,0
really good night,0
so you are supportive,0
really you are friendly,0
so you are pathetic again,1
always you did great,0
always you stay calm,0
hi sir,0
really this is bad,1
so i agree with your view,0
always appreciate your effort,0
totally you are honest again,0
very you are a fool,1
really hello friend,0
really you make me sick again,1
really total clown again,1
always you gave effort,0
very well done,0
always you are the worst,1
really you make people angry,1
this is a nice idea,0
really this is poor,1
so you are dry,1
always you fail every time still,1
really you are learning,0
stay gone,1
you are nobody,1
always you stay calm,0
you are a joke again,1
really you do not know anything,1
really that is wise,0
always empty head,1
you made it easy again,0
very you are fake,1
that is facts,0
always you have no idea,1
you did a fine job,0
you are honest again again,0
you should disappear,1
always you are heartless,1
really you try too hard,1
you should stop again,1
what a loser,1
so you are built for this,0
always you made it easy,0
so you are weak,1
really you gave effort,0
really good work,0
completely you sound weird,1
so you did a fine job,0
complete waste now,1
your support means a lot again,0
so this is top tier,0
total fool,1
you still is lazy,1
always that is good energy,0
totally you are not smart,1
really you talk too much,1
so you always lose,1
so complete waste again,1
you never change again,1
always you are wrong again,1
utter garbage again,1
really you are not real now,1
you still is working,0
completely you cannot do anything,1
always you always lie still,1
always you brought this on yourself still,1
really you are capable,0
you handled it well again,0
you handled it calmly again,0
so really appreciate it,0
you made progress,0
always you are toxic,1
total disgrace,1
totally you did your best,0
always you did well,0
you are careful,0
very that was smart,0
you are fake again again,1
so go to hell,1
you are polite,0
so i believe in you,0
completely you are bad at this,1
thanks and hope you are fine,0
so you are the worst,1
always you are hopeless,1
very this is peaceful,0
completely you are not ready,1
you still talk nonsense,1
that was you did your best,0
so you are helpful,0
totally you are kind,0
always you will pay for this now,1
very you make sense,0
stop breathing now,1
worthless human,1
you still snapped,0
really you are lazy,1
that is clean,0
disappear now,1
you are toxic again,1
totally that is stupid,1
so good evening,0
always this is better,0
that was that looks good,0
you are not helping again,1
coward,1
so you are not funny,1
you still are polite,0
no one cares,1
really learn to fail now,1
you are a fool now,1
that is thoughtful again,0
always you are kind,0
totally this is wonderful,0
very that is thoughtful,0
really you cannot do anything,1
you still are not funny at all,1
totally you are honest,0
very you bring good ideas,0
really thank you for your support,0
you always fail,1
great choice,0
you still are friendly,0
really you are smart,0
you still is low effort,1
completely you are strong,0
you brought this on yourself,1
so this is a win,0
you help others again,0
always you make sense,0
completely you fell off,1
thank you for teaching me,0
go away loser now,1
so you waste time,1
you did well,0
completely this is peak,0
so you are trash,1
totally you are careful,0
thank you sir,0
totally you are focused,0
completely you are embarrassing,1
very you are helpful,0
you are a joke again,1
keep going again,0
completely you are heartless,1
so this is smooth again,0
you are evil,1
you still are a clown,1
always you did your best,0
completely you are doing well,0
zero value,1
always you never help,1
good work again,0
you still do not improve,1
totally you are proud for nothing,1
total loser,1
completely you are boring,1
that was have a nice day,0
really that is fair enough,0
that was cool post,0
totally you are blind,1
you are brainless again,1
go die,1
really you have no skill,1
nobody likes you,1
expect trouble,1
you are honest again again,0
completely you are cool,0
really you are not special,1
no one cares,1
you still are not ready,1
so you did a fine job,0
you are honest again,0
really this is positive,0
really you lost again,1
you are not serious again,1
you are lying again,1
completely you do not think,1
alright,0
die now,1
always that is correct,0
you still are slow,1
completely you are heartless,1
i will break you,1
die now,1
completely you are so bad,1
so you are growing,0
you still is quality,0
stay gone,1
totally nobody likes you,1
totally you are so slow,1
i will punch you,1
you still are weak,1
that is weak,1
so you got better,0
very you make sense,0
totally you are brainless,1
so who asked you,1
very you are polite,0
thanks and stay positive,0
very you are not normal,1
really you are not him again,1
so you are mean,1
very you always lie,1
always you are not worth it,1
really you are mean,1
this is not good,1
this is trash,1
nice click,0
thanks and that is correct,0
you still aged well,0
you are so slow again,1
completely you made it easy,0
you stayed calm,0
really learn to be quiet still,1
completely this is fair,0
always you are wrong,1
great effort,0
totally keep going,0
so you are out of touch,1
so you do not think,1
always you are heartless,1
always you deserve pain still,1
go away loser,1
what a loser,1
that was hello maam,0
always you make mistakes,1
you never help,1
that is a good point,0
very stay away from me now,1
you still likes you,1
always you waste time,1
so good evening,0
hey there again,0
you still is fine,0
always you are boring,1
this is solid,0
pathetic still,1
that was keep trying,0
you still goes well,0
pathetic human,1
always you are talented again,0
you still is perfect,0
you made it better,0
so i enjoy this,0
you are proud for nothing,1
always fine with me,0
you always lie,1
monster,1
totally you are not helping,1
you are embarrassing again,1
you still is honest,0
you still are slow,1
really good take,0
always i will slap you again,1
so that works well,0
you are not smart,1
fine with me again,0
totally you are proud for nothing,1
really thank you for your support,0
totally you made it easy,0
leave the internet,1
you are jealous again,1
you are nice again,0
completely get lost,1
complete jerk,1
you are not normal,1
hi,0
completely you are strong,0
you still is peak,0
you still is solid,0
you are a loser,1
completely that is disgusting,1
very you make me sick again,1
i will break your face,1
very you are wrong,1
very you are ugly inside still,1
completely this is so clean,0
completely you are embarrassing,1
very you are a clown,1
really that is a great point,0
always you make it worse,1
you know nothing again,1
you are cool,0
always that is so nice,0
you got patience,0
completely that is thoughtful,0
always good luck,0
so good point,0
this is positive,0
that was nice picture,0
you still make it worse,1
so you are doing a great job,0
you still is effort,0
i will slap you,1
always thank you sir,0
really you are dumb,1
you are a loser,1
completely you are friendly,0
thanks and yes,0
useless human,1
always stay away from me,1
never show up,1
you still are not funny,1
you still looks better,0
always clear now,0
very none care about you again,1
always you are not trying,1
this is helpful again,0
always i agree,0
so you are rude again,1
very this is simple and good,0
really you always fail,1
so you are growing,0
go to hell,1
that was clear now,0
totally you made it better,0
you are trash,1
always hello sir,0
i do not agree but that is okay,0
you still are correct,0
shut your mouth,1
that was this is simple and clean,0
thanks for replying again,0
i will find you,1
you are not helping again,1
always good luck,0
scumbag,1
totally you help others,0
so you are respectful,0
really that was helpful,0
so you are pathetic,1
really that makes sense,0
very you always fail,1
always you are lazy,1
always this was well explained,0
nobody cares,1
this is smooth,0
this is excellent,0
totally you are trash,1
thanks and you are right,0
complete mess,1
so you got patience,0
you still are polite,0
so you are a nobody,1
you are helpful,0
completely well done,0
that is wise,0
learn to fail,1
you never learn,1
really you gave effort,0
always you are not him again,1
that is fair enough again,0
really utter garbage now,1
you are worthless,1
you cooked this,0
monster,1
so thanks for replying,0
nice design again,0
so really appreciate it,0
sounds good,0
so thank you,0
you still is terrible,1
really that is weak,1
i enjoy this,0
this is terrible again,1
really you are toxic,1
crawl away,1
really thank you for explaining,0
you talk nonsense,1
completely you are wrong again,1
so you are focused,0
completely you are all talk,1
you stayed calm,0
always none care about you still,1
always you fell off,1
you are honest again again,0
very this is interesting,0
so you made sense,0
completely good work,0
you still is better,0
go away loser,1
really you are nobody still,1
complete disaster,1
always you do not think,1
very you brought this on yourself again,1
totally you are selfish,1
you should disappear still,1
learn to be quiet,1
you still are not trying,1
really this is a good result,0
you still is wise,0
really you are open minded,0
you always lie,1
always this is smooth,0
totally you are jealous,1
you do not deserve it,1
totally nice effort,0
shut up now,1
totally you are arrogant,1
you still goes hard,0
so you are amazing,0
completely you are wrong again,1
completely you are basic,1
you still are a clown,1
good afternoon,0
complete waste,1
very that is right,0
you will regret this,1
stay gone,1
really that was helpful,0
empty head,1
always this is bad,1
always that is wise,0
always this is not deep,1
so really appreciate it,0
you are disgusting,1
you still did your part,0
so you are not even trying,1
you do not deserve it,1
very you are nice,0
really you did a fine job,0
you are useless here again,1
this is nice,0
so you are pathetic loser now,1
so you are not welcome,1
always you cannot do anything,1
very this looks great,0
you are fake again,1
so you did well,0
really you did great,0
good evening again,0
you are not clear,1
so thanks for replying,0
that was good point,0
good answer,0
you stay calm again,0
stop breathing,1
always you are jealous,1
you still sound fake,1
you still answer,0
you still is crazy bad,1
that is a good start again,0
you are nice with it,0
very you are annoying,1
you deserve pain,1
very you are wrong again,1
this is weak,1
very you are learning,0
good afternoon again,0
completely you are fake,1
always you ruined it,1
really you will pay for this now,1
you are learning,0
always that is thoughtful,0
always you are weird,1
you still is quality,0
always this is not it,1
that is wise again,0
always you never care,1
totally you are selfish,1
so love your energy,0
really this is top tier,0
always you are improving,0
i will beat your head,1
so that works well,0
totally you are the problem,1
so you are good at this,0
total fool,1
that was you did amazing work,0
completely this is neat,0
really you are soft,1
hello again,0
this is peak,0
very you are trash again,1
that is true,0
completely you make people angry,1
that was great effort,0
always you are fake,1
you made sense,0
you are proud for nothing,1
very you are mean,1
really get lost,1
you still always complain,1
always this is bad,1
you ruined it again,1
you fail every time,1
always you are toxic,1
so understood,0
always that was smart,0
so that is right,0
you cannot do anything again,1
this is helpful information again,0
thanks and that is true,0
you still are a clown,1
always i like this post,0
always you are clear,0
you still is better,0
really you make no sense,1
always you make me sick,1
you are inspiring,0
always you are not good,1
so that was kind,0
worthless human,1
completely this is a flop,1
this is terrible,1
that was this is a nice idea,0
thanks and good explanation,0
very you ruin everything,1
always you are not built for this,1
you always ruin,1
so loser now,1
crawl away,1
you never care again,1
you are basic,1
you are wrong,1
really you are gentle,0
this is not it,1
you always lie,1
always nice effort,0
you did your best,0
completely this is nonsense,1
you stay calm again,0
really what a loser,1
you still are smart,0
really that was a good explanation,0
very none care about you now,1
you bring good ideas again,0
always you got skill,0
thanks for replying again,0
you are wrong again again,1
totally that is thoughtful,0
always hello maam,0
really you will suffer now,1
thanks and i agree,0
this looks solid,0
totally this is terrible,1
complete disaster,1
completely you made progress,0
really you are washed,1
always you are the worst,1
completely you make people angry,1
really that is perfect,0
die now,1
so this is lazy,1
complete waste,1
always you make it worse,1
that was sounds good,0
you made it easy,0
really thank you sir,0
really you did your best,0
always you never help still,1
you still looks solid,0
so you did a fine job,0
you still made it better,0
zero value,1
really believe in yourself,0
that was love this,0
this is strong again,0
good decision again,0
really you have no value now,1
totally you are smart,0
you still are not serious,1
i will ruin you,1
totally you handled it calmly,0
you are capable again,0
you still is simple and good,0
you are learning,0
that was appreciate your help,0
so you are a joke,1
totally well done,0
very go to your hole now,1
really you are respectful,0
really this is weak,1
totally this is excellent,0
really that is weak,1
you are making it worse again,1
this is smooth again,0
you talk too much again,1
so nice picture,0
stay positive,0
great choice again,0
so get lost,1
pathetic,1
you never change,1
you are a joke,1
really go to hell still,1
very you are polite,0
you are arrogant again,1
completely you are strong,0
always you are doing well,0
so you did a fine job,0
always that was kind,0
so that is stupid,1
so that is fine,0
totally you did well,0
very you did your part,0
very good work,0
this is lazy,1
you still is positive,0
totally you are fake,1
you still are useless,1
totally you never care,1
go away now,1
really you are lazy,1
that was good afternoon,0
completely you got skill,0
very you make sense,0
you work hard again,0
stupid human now,1
very you are a joke,1
thanks and this made me smile,0
really your support means a lot,0
trash,1
you still aged well,0
so so nice,0
you are strong,0
completely you missed it,1
completely you are respectful,0
always you never change again,1
so you are a joke,1
totally you are weak,1
really you are a clown,1
so hello everyone,0
thanks and stay positive,0
thanks and okay,0
you still looks better,0
totally you are not welcome,1
thanks and you are correct,0
completely you are right,0
really you have no skill,1
you still make sense,0
that was good explanation,0
this is not good,1
so this is neat,0
so you are solid,0
very that is fine,0
you sound stupid again,1
great effort,0
completely that is disgusting,1
i like this idea again,0
love this again,0
this made me smile again,0
you never change,1
you are disgusting,1
i will ruin you,1
you still is good energy,0
always you do not get it,1
you are focused again,0
really you fail every time,1
always nice one,0
very you are fake again,1
you are supportive again,0
so good answer,0
always works for me,0
totally this is better,0
really you are arrogant,1
totally you did great,0
so you are rotten again,1
you are rude,1
always thank you for your support,0
that was i see your point,0
very this is nice,0
thanks and you are doing a great job,0
hey bro,0
you still are a clown,1
totally this is a good result,0
always you are arrogant,1
really you make people angry,1
always you are ugly inside again,1
so keep learning,0
completely you talk nonsense,1
completely you are proud for nothing,1
you still are amazing,0
really you are mid again,1
you still is not it,1
so i learned something new,0
die now,1
very that is perfect,0
really you are not welcome,1
totally nobody likes you,1
thanks and well presented,0
i will punch you,1
go away loser,1
you still is smart,0
really well done,0
really this is peaceful,0
you cannot do anything again,1
you are so slow,1
totally you are brainless,1
really this is nice,0
so this is nonsense,1
really this is nice,0
pathetic,1
that was good night,0
i will hurt you,1
very this looks great,0
totally you bring good ideas,0
very who asked you still,1
always complete waste still,1
that is thoughtful,0
so that is clean,0
so you did your best,0
i will hurt your family,1
so you missed it,1
you are too slow,1
completely you are lost again,1
always you are correct,0
really you are clear,0
totally this is fine,0
really thank you,0
so you are jealous,1
very do not come back still,1
totally you did it right,0
good job,0
very learn to be quiet again,1
you are selfish,1
so love your energy,0
totally that is stupid,1
very well done,0
totally you are toxic,1
you still did well,0
i will find you still,1
really you made it easy,0
very this is interesting,0
totally you are good at this,0
thank you very much again,0
very you are helpful,0
totally you failed again,1
so i agree,0
get lost again,1
really nobody likes you,1
really thank you for your time,0
totally that was kind,0
that was hello maam,0
always that is correct,0
always i enjoy this,0
you are garbage,1
completely this is peaceful,0
always you are a liar,1
this is peaceful again,0
very you are capable,0
you still is peaceful,0
so you are ugly inside still,1
so you do not improve,1
so you are a clown,1
you are a joke,1
this looks better,0
completely that is true enough,0
so you are brainless,1
very great choice,0
you still are boring,1
leave the internet,1
always you are pathetic loser still,1
hi sir,0
i will ruin you,1
so stay happy,0
great view,0
really thanks for replying,0
you are basic,1
totally you did a fine job,0
completely this is quality,0
this is strong,0
you are right,0
you did your best,0
really you got patience,0
you are making it worse again,1
really that is a good start,0
always you are making it worse,1
this is helpful,0
you still are not smart,1
so you are embarrassing,1
very you waste time,1
always thank you for explaining,0
that works well,0
always you cannot do anything,1
worthless human,1
you make it worse,1
you still are random,1
very this is true,0
completely that is right,0
really you are clear,0
totally this is nonsense,1
i will break you,1
how is it going,0
very you are a joke,1
keep learning again,0
you are ugly inside still,1
go away loser,1
thanks and keep trying,0
i will come for you,1
so this is okay,0
totally you made it better,0
totally you are not funny,1
that is thoughtful again,0
thanks and love your energy,0
completely you are too slow,1
you still never care,1
very you help others,0
really you are polite,0
you still is honest,0
worthless human,1
totally you are focused,0
you are fake,1
totally this is helpful,0
so you know nothing,1
well done,0
you are so slow,1
you are fake,1
totally that is true enough,0
you are careful,0
always idiot again,1
always good take,0
so good night,0
always i enjoy this,0
really you are not trying,1
totally you are embarrassing,1
so you did a fine job,0
very you talk too much,1
you should stop again,1
always you are capable,0
very total fool now,1
completely that is correct,0
really you are a clown,1
really you are polite,0
really you are lost again,1
you are making it worse again,1
always this is boring,1
you are weak again,1
you always complain,1
always that is correct,0
you ruined it again,1
you still are helpful,0
always go away,1
totally you always fail,1
you are smart,0
completely you are mean,1
completely you did a fine job,0
really you help others,0
good point again,0
so your help is appreciated,0
very thank you,0
so that works well,0
you still is wise,0
very you sound stupid,1
you are solid,0
you still are embarrassing,1
so this is good,0
so great idea,0
i respect your thought,0
happy to see you,0
always you are helpful,0
so you are not funny at all,1
so you never learn,1
so that goes hard,0
that was simple and effective,0
you still talking,1
thank you,0
so you are cold,1
you are banned,1
really you should stop,1
you still always lose,1
really really appreciate it,0
always you are brainless,1
always you are still wrong,1
you still are cold,1
so you always lose,1
nice one again,0
you are wise again,0
so this is true,0
so you are a disgrace still,1
you still stay calm,0
very good answer,0
you still is not deep,1
trash talk,1
you are a liar still,1
you gave effort,0
very none care about you,1
so you are lazy,1
totally you are arrogant,1
i see your point again,0
you are useless here again,1
really you never care,1
completely go away,1
really that is fair enough,0
really that looks good,0
that was i agree,0
always this is nonsense,1
completely great choice,0
go to hell,1
always you are not clear,1
really you are confident,0
really this is nice,0
very you ruined it,1
very you are the problem,1
so go away,1
you know nothing,1
really this is cooked,1
really you are a joke,1
really love your energy,0
you are worthless,1
go away now,1
this is not it,1
thanks and looks good,0
always you are evil still,1
so you will regret this,1
really this is bad,1
you make people angry,1
always you ruined it again,1
thanks and you can do this,0
always you are doing well,0
you have no skill again,1
thanks and i enjoy this,0
always i like this post,0
completely you make people angry,1
coward,1
you still is good,0
always you are good at this,0
you are evil,1
hi again,0
this is lazy,1
totally you stay calm,0
completely you are just bad,1
very go to your hole now,1
completely you are fake again,1
always stay away from me,1
totally you are a loser,1
always that was kind,0
what a loser,1
you are making it worse again,1
always you talk nonsense,1
you are strong,0
really you made it better,0
dumb human,1
so you are fake,1
completely this goes well,0
always alright,0
very you brought this on yourself,1
always great idea,0
so you always ruin still,1
always you are mid again,1
coward,1
really you are not good,1
very you are pathetic,1
really stop talking,1
that was hello maam,0
so that is correct,0
really this is top tier,0
you are wrong,1
you are dumb,1
you still talk too much,1
you made it work,0
your explanation was clear,0
you still are the worst,1
you always ruin,1
complete waste,1
you are not welcome again,1
so you are so slow,1
always i believe in you,0
you still failed hard,1
always good job,0
so you did amazing work,0
so you are boring,1
thanks and keep trying,0
very that was smart,0
always this is helpful information,0
i will hurt you,1
very die now still,1
really you never learn,1
always you are chill,0
really you make me sick now,1
that was really appreciate it,0
so you are so bad,1
thanks and that is fine,0
you still is true enough,0
always you are not winning,1
really this is clean,0
always you made it better,0
so you have no idea,1
so you are a liar again,1
you still is better,0
so see you later,0
really you never change,1
completely you have no clue,1
always thank you mam,0
really you are not winning,1
really you are all talk,1
you are mid,1
so that is a great point,0
so you are bad at this,1
i learned something new,0
i got it again,0
crawl away,1
completely you are out of touch,1
really great project,0
really how are you,0
so that is true enough,0
you still are supportive,0
you still make no sense,1
really you are a bot,1
you know nothing again,1
always i like this post,0
you still is crazy bad,1
very that is true enough,0
you are rude again,1
very you always fail,1
always well done,0
you are weird,1
always that is real,0
keep going,0
very stop existing still,1
always you ruined it,1
shut up now,1
very you talk nonsense,1
always thank you very much,0
very you always complain,1
pathetic attempt,1
always this is strong,0
utter garbage,1
very you made it easy,0
that was you are inspiring,0
completely you handled it calmly,0
